ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
225;B;P225;F2;NH;F;60;41;4;no;4;100;100;PD;54;0;PD;0;100;4;6;44;44;PD;0;11;0;27;4;SM;44
226;B;P226;M1;NH;M;116;52;4;no;5;121;121;PD;105;4;PD;0;121;4;4;62;62;PD;9;18;7;21;0;SM;62
227;B;P227;T2;NH;T;91;64;4;no;8;163;163;PD;20;15;PD;1;163;4;7;87;87;PD;9;4;26;30;10;SM;87
228;B;P228;HT;H;T;122;45;4;yes;5;142;142;PD;30;3;PD;1;142;4;5;79;79;PD;25;6;10;12;2;SM;79
229;B;P229;T1;NH;T;89;43;4;no;3;103;103;PD;48;32;PD;0;103;4;5;59;59;PD;12;19;2;12;7;SM;59
230;B;P230;HM;H;M;122;44;4;no;5;153;153;PD;85;54;PD;0;153;4;5;56;56;PD;0;7;0;32;10;SM;56
231;B;P231;F1;NH;F;73;59;4;no;9;134;134;PD;87;11;PD;0;134;4;5;69;69;PD;0;39;0;18;0;SM;69
232;B;P232;M2;NH;M;94;45;4;no;4;140;140;PD;43;2;PD;1;140;4;4;57;57;PD;27;6;2;2;3;SM;57
233;B;P233;HF;H;F;38;40;4;no;6;89;89;PD;22;54;PD;0;89;4;6;46;46;PD;6;21;0;1;1;SM;46
234;B;P234;F2;NH;F;58;52;4;no;5;91;91;PD;56;17;PD;0;91;4;3;38;38;PD;1;5;0;26;1;SM;38
235;B;P235;M1;NH;M;107;58;4;no;3;117;117;PD;95;5;PD;0;117;4;6;67;67;PD;21;0;33;1;4;SM;67
236;B;P236;T2;NH;T;98;36;4;yes;7;159;159;PD;91;41;PD;0;159;4;4;37;37;PD;15;9;6;4;1;SM;37
237;B;P237;HT;H;T;109;68;4;no;4;93;93;PD;67;0;PD;0;93;4;7;70;70;PD;5;9;6;45;2;SM;70
238;B;P238;T1;NH;T;99;58;4;no;4;98;76;PD;7;21;PD;2;76;4;4;63;63;PD;44;0;17;0;0;SM;63
