ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
372;B;P372;HT;H;T;110;65;4;no;5;219;219;AS;181;9;AS;0;219;4;4;94;94;SM;6;3;51;34;0;SM;94
373;B;P373;T1;NH;T;101;34;4;no;5;116;116;AS;79;1;AS;0;116;4;5;49;49;SM;2;1;12;9;5;SM;49
374;B;P374;HM;H;M;120;42;4;no;3;168;168;AS;76;46;AS;0;168;4;1;1;1;SM;0;0;1;0;0;SM;1
375;B;P375;F1;NH;F;85;49;4;no;8;185;185;AS;62;56;AS;0;185;4;7;69;69;SM;0;28;0;33;0;SM;69
376;B;P376;M2;NH;M;84;51;4;no;3;137;137;AS;63;46;AS;0;137;4;3;54;54;SM;4;4;14;27;1;SM;54
377;B;P377;HF;H;F;79;38;4;no;4;117;117;AS;59;28;AS;0;117;4;2;8;8;SM;0;0;3;1;4;SM;8
378;B;P378;F2;NH;F;91;33;4;no;3;118;118;AS;43;42;AS;0;118;4;4;25;25;SM;0;6;0;17;0;PD;25
379;B;P379;M1;NH;M;133;51;4;no;5;156;156;AS;111;2;AS;0;156;4;4;63;63;SM;14;0;38;8;0;PD;63
380;B;P380;T2;NH;T;91;59;4;no;9;200;200;AS;44;92;AS;0;200;4;5;73;73;SM;21;8;37;18;2;PD;86
381;B;P381;HT;H;T;73;64;4;no;3;120;120;AS;60;33;AS;0;120;4;6;105;105;SM;18;38;6;22;0;PD;105
382;B;P382;T1;NH;T;101;75;4;no;5;117;117;AS;50;14;AS;0;117;4;5;92;92;SM;7;14;28;42;1;PD;92
383;B;P383;HM;H;M;113;35;4;no;4;181;181;AS;126;16;AS;0;181;4;6;52;52;SM;7;6;19;11;1;PD;52
384;B;P384;F1;NH;F;86;57;4;no;10;163;163;AS;65;70;AS;0;163;4;3;33;33;SM;1;4;2;21;2;PD;33
385;B;P385;M2;NH;M;134;78;4;no;4;202;202;AS;19;174;AS;0;202;4;4;71;71;SM;14;8;27;7;1;PD;71
386;B;P386;HF;H;F;;;;;;;;;;;;;;0;;;;;;;;;;;
387;B;P387;F2;NH;F;71;65;4;no;5;206;206;AS;74;92;AS;0;206;4;3;63;63;SM;0;0;3;47;10;PD;63
388;B;P388;M1;NH;M;109;48;4;no;4;107;107;AS;42;47;AS;0;107;4;;;;;;;;;;;
389;B;P389;T2;NH;T;;;;;;;;;;;;;;0;;;;;;;;;;;
401;C;P401;HT;H;T;80;62;4;yes;6;154;119;SM;88;5;PD;0;119;5;5;80;80;SM;27;48;0;1;0;PD;80
402;C;P402;T1;NH;T;88;48;4;no;0;0;0;SM;0;0;PD;0;0;5;6;74;74;SM;0;28;0;44;0;PD;74
403;C;P403;HM;H;M;99;44;4;no;4;226;226;SM;120;75;PD;0;226;5;8;102;102;SM;27;26;1;7;4;PD;102
404;C;P404;F1;NH;F;72;37;4;no;7;224;224;SM;91;75;PD;0;224;5;3;48;48;SM;0;18;0;8;28;PD;54
405;C;P405;M2;NH;M;96;40;4;no;5;130;130;SM;75;34;PD;0;130;5;3;54;54;SM;9;26;3;10;38;PD;86
406;C;P406;HF;H;F;79;54;4;yes;6;200;200;SM;67;114;PD;0;200;5;4;66;66;SM;5;14;2;14;19;PD;66
407;C;P407;F2;NH;F;50;35;4;no;2;89;89;SM;35;54;PD;0;89;5;4;46;46;SM;0;17;0;26;0;PD;46
408;C;P408;M1;NH;M;139;40;4;no;6;147;147;SM;58;59;PD;0;147;5;5;28;28;SM;2;15;0;5;2;PD;28
409;C;P409;T2;NH;T;109;58;4;yes;8;147;147;SM;127;9;PD;0;147;5;5;80;80;SM;0;55;0;16;0;PD;80
410;C;P410;HT;H;T;82;36;4;no;7;128;128;SM;86;22;PD;0;128;5;5;61;61;SM;18;25;3;1;6;PD;61
411;C;P411;T1;NH;T;109;59;4;no;0;0;0;SM;0;0;PD;0;0;5;7;72;72;SM;4;28;3;17;7;PD;72
412;C;P412;HM;H;M;135;33;4;no;8;225;225;SM;115;54;PD;0;225;5;6;63;63;SM;6;39;1;6;2;PD;63
413;C;P413;F1;NH;F;80;59;4;no;6;124;124;SM;89;30;PD;0;124;5;1;21;21;SM;0;0;0;8;11;PD;21
414;C;P414;M2;NH;M;56;42;4;no;6;159;159;SM;66;35;PD;0;159;5;5;59;59;SM;1;18;2;29;1;PD;59
415;C;P415;HF;H;F;88;66;4;yes;6;173;173;SM;87;55;PD;0;173;5;6;95;95;SM;1;12;3;73;0;PD;95
416;C;P416;F2;NH;F;111;54;4;no;3;108;108;SM;0;106;PD;0;108;5;6;77;77;SM;0;24;0;37;0;PD;77
417;C;P417;M1;NH;M;106;51;4;no;6;113;113;SM;60;0;PD;0;113;5;6;36;36;SM;4;9;2;2;1;PD;36
418;C;P418;T2;NH;T;104;49;4;no;10;184;160;SM;140;4;PD;0;160;5;5;55;55;SM;0;47;0;7;0;PD;55
419;C;P419;HT;H;T;83;72;4;no;4;146;66;SM;32;14;PD;0;66;5;5;84;84;SM;5;53;0;21;0;PD;84
420;C;P420;T1;NH;T;106;52;4;no;2;63;63;SM;56;0;PD;0;63;5;7;57;57;SM;21;17;4;4;0;PD;57
421;C;P421;HM;H;M;97;60;4;yes;5;145;145;SM;91;31;PD;0;145;5;5;76;76;SM;0;40;0;18;17;PD;76
422;C;P422;F1;NH;F;91;62;3;yes;2;63;63;AS;3;59;PD;0;63;5;5;79;79;SM;0;44;3;28;0;PD;79
423;C;P423;M2;NH;M;96;71;4;no;5;223;223;SM;158;55;PD;0;223;5;5;85;85;SM;0;64;0;0;0;PD;85
424;C;P424;HF;H;F;114;43;4;yes;7;138;138;SM;59;43;PD;0;138;5;7;63;63;SM;0;50;0;0;1;PD;63
425;C;P425;F2;NH;F;94;46;4;no;4;129;129;SM;54;46;PD;0;129;5;5;72;72;SM;0;39;0;16;2;PD;72
426;C;P426;M1;NH;M;117;62;4;yes;6;176;176;SM;130;8;PD;0;176;5;7;67;67;SM;0;41;0;15;3;PD;67
427;C;P427;T2;NH;T;55;72;4;no;6;174;174;SM;104;38;PD;0;174;5;6;86;86;SM;47;29;0;2;0;PD;86
428;C;P428;HT;H;T;103;63;4;no;6;140;140;SM;115;0;PD;0;140;5;4;74;74;SM;53;16;0;0;1;PD;74
429;C;P429;T1;NH;T;101;43;3;no;2;51;17;AS;0;0;PD;0;17;5;6;47;47;SM;0;4;2;10;28;PD;47
430;C;P430;HM;H;M;157;53;4;no;5;234;234;SM;111;38;PD;0;234;5;4;46;46;SM;25;14;1;2;1;PD;46
431;C;P431;F1;NH;F;80;45;4;no;5;96;96;SM;72;3;PD;0;96;5;5;37;37;SM;0;44;0;1;0;PD;45
432;C;P432;M2;NH;M;109;55;4;no;3;116;116;SM;73;1;PD;0;116;5;4;80;80;SM;8;37;1;16;0;PD;80
433;C;P433;HF;H;F;80;62;4;no;6;207;207;SM;114;44;PD;0;207;5;5;82;82;SM;5;35;0;21;15;PD;82
434;C;P434;F2;NH;F;47;58;4;no;6;81;81;SM;46;20;PD;0;81;5;6;113;113;SM;0;84;0;0;21;PD;113
435;C;P435;M1;NH;M;117;49;4;no;3;152;152;SM;109;3;PD;0;152;5;3;41;41;SM;0;37;0;1;0;PD;41
436;C;P436;T2;NH;T;90;62;4;yes;7;180;180;SM;159;22;PD;0;181;5;6;86;86;SM;12;48;5;12;4;PD;86
437;C;P437;HT;H;T;111;63;4;no;7;193;165;SM;113;21;PD;0;165;5;6;99;99;SM;38;18;8;6;4;PD;99
438;C;P438;T1;NH;T;92;67;4;no;2;64;64;SM;41;5;PD;0;64;5;4;59;59;SM;3;43;0;1;0;PD;59
439;C;P439;HM;H;M;118;52;4;no;2;24;24;SM;19;0;PD;0;24;5;6;95;95;SM;37;15;4;6;16;PD;95
440;C;P440;F1;NH;F;81;55;4;no;8;125;125;SM;111;6;PD;0;125;5;4;87;87;SM;9;5;10;13;45;PD;87
441;C;P441;M2;NH;M;84;67;4;no;4;183;183;SM;82;68;PD;0;183;5;4;77;77;SM;4;29;5;28;1;PD;77
442;C;P442;HF;H;F;107;52;4;no;6;146;146;SM;82;12;PD;0;146;5;3;17;17;SM;0;0;0;17;0;PD;17
443;C;P443;F2;NH;F;65;56;4;no;4;93;93;SM;29;52;PD;0;93;5;6;72;72;SM;25;13;5;2;24;PD;72
444;C;P444;M1;NH;M;118;66;4;no;4;95;95;SM;30;43;PD;0;95;5;4;83;83;SM;4;16;3;18;37;PD;83
445;C;P445;T2;NH;T;131;58;4;no;6;190;190;SM;76;80;PD;0;190;5;6;86;86;SM;32;22;1;8;0;PD;86
446;C;P446;HT;H;T;88;52;4;yes;4;124;124;SM;79;38;PD;0;124;5;3;66;66;SM;11;5;17;6;23;PD;66
447;C;P447;T1;NH;T;101;50;4;no;4;122;122;SM;88;30;PD;0;122;5;5;62;62;SM;0;50;0;3;2;PD;62
448;C;P448;HM;H;M;82;51;4;no;4;138;138;SM;70;37;PD;0;138;5;5;78;78;SM;18;12;16;14;3;PD;78
449;C;P449;F1;NH;F;113;46;4;no;6;131;131;SM;79;34;PD;0;131;5;6;82;82;SM;52;1;16;1;0;PD;82
450;C;P450;M2;NH;M;67;45;4;no;3;75;75;AS;64;4;SM;0;75;5;3;20;20;EN;4;10;0;1;1;EC;20
451;C;P451;HF;H;F;91;56;4;no;5;102;102;AS;28;60;SM;0;102;5;7;80;80;EN;0;41;0;10;12;EC;80
452;C;P452;F2;NH;F;84;48;4;no;6;155;155;AS;105;28;SM;0;155;5;6;81;81;EN;0;45;0;8;0;EC;81
453;C;P453;M1;NH;M;85;52;4;no;4;85;85;AS;83;4;SM;0;87;5;6;87;87;EN;0;42;0;3;1;EC;87
454;C;P454;T2;NH;T;110;45;4;yes;4;101;101;AS;72;22;SM;0;101;5;4;25;25;EN;0;12;0;2;3;EC;25
455;C;P455;HT;H;T;101;40;4;no;8;160;160;AS;118;16;SM;0;160;5;6;68;68;EN;30;10;4;0;2;EC;68
456;C;P456;T1;NH;T;85;39;4;no;4;85;85;AS;61;20;SM;0;85;5;3;33;33;EN;9;17;0;0;0;EC;33
457;C;P457;HM;H;M;183;49;4;no;4;257;257;AS;134;61;SM;0;257;5;8;70;70;EN;0;32;0;0;0;EC;70
458;C;P458;F1;NH;F;114;41;4;no;5;181;181;AS;95;69;SM;0;181;5;7;94;94;EN;0;43;2;3;5;EC;94
459;C;P459;M2;NH;M;109;66;4;no;8;237;237;AS;161;31;SM;0;237;5;6;75;75;EN;7;49;0;1;2;EC;75
460;C;P460;HF;H;F;80;59;4;no;3;161;161;AS;28;136;SM;0;164;5;5;71;71;EN;2;35;0;0;24;EC;71
461;C;P461;F2;NH;F;97;55;4;no;4;113;113;AS;99;14;SM;0;113;5;5;63;63;EN;0;18;0;28;1;EC;63
462;C;P462;M1;NH;M;118;43;4;no;7;182;182;AS;118;22;SM;0;182;5;3;39;39;EN;17;11;0;0;2;EC;39
463;C;P463;T2;NH;T;75;46;4;no;5;85;85;AS;56;23;SM;0;85;5;5;64;64;EN;5;19;0;0;12;EC;64
464;C;P464;HT;H;T;127;56;4;no;8;157;157;PD;140;1;SM;0;157;5;2;9;9;EN;0;2;0;1;11;EC;14
465;C;P465;T1;NH;T;97;51;4;no;7;114;114;PD;86;5;SM;0;114;5;4;63;63;EN;3;12;5;34;1;EC;63
466;C;P466;HM;H;M;139;75;4;no;7;181;181;PD;116;22;SM;0;181;5;6;64;64;EN;0;1;1;35;2;EC;64
467;C;P467;F1;NH;F;108;46;4;no;6;134;134;PD;111;22;SM;0;134;5;6;74;74;EN;1;26;0;29;16;EC;74
468;C;P468;M2;NH;M;77;44;4;no;7;199;199;PD;174;18;SM;0;199;5;5;63;63;EN;26;8;1;0;9;EC;63
469;C;P469;HF;H;F;137;72;4;no;9;341;341;PD;150;105;SM;0;341;5;6;92;92;EN;0;41;0;28;15;EC;92
470;C;P470;F2;NH;F;79;62;4;yes;4;123;123;PD;20;72;SM;0;123;5;6;84;84;EN;2;32;3;7;13;EC;84
471;C;P471;M1;NH;M;120;49;4;no;5;141;141;PD;94;15;SM;0;141;5;6;83;83;EN;14;8;8;10;19;EC;83
472;C;P472;T2;NH;T;132;66;4;no;9;173;173;PD;148;14;SM;0;173;5;4;56;56;EN;5;12;4;20;13;EC;56
473;C;P473;HT;H;T;123;67;4;no;6;154;154;AS;143;3;SM;0;154;5;4;66;66;EN;3;15;4;19;2;EC;66
474;C;P474;T1;NH;T;104;52;4;yes;5;102;102;AS;71;29;SM;0;102;5;6;57;57;EN;7;17;3;6;4;EC;57
475;C;P475;HM;H;M;127;61;4;yes;6;133;133;AS;92;29;SM;0;133;5;5;56;56;EN;22;0;21;0;3;EC;56
476;C;P476;F1;NH;F;111;51;4;no;2;0;0;AS;0;0;SM;0;0;5;4;35;35;EN;0;13;0;11;10;EC;35
477;C;P477;M2;NH;M;103;39;4;yes;3;121;121;AS;115;8;SM;0;123;5;6;72;72;EN;0;44;0;0;2;EC;72
478;C;P478;HF;H;F;122;71;4;no;7;149;149;AS;73;54;SM;0;149;5;7;101;101;EN;0;36;1;13;2;EC;101
479;C;P479;F2;NH;F;63;77;4;yes;4;98;98;AS;80;18;SM;0;98;5;13;145;145;EN;15;18;22;42;4;EC;145
480;C;P480;M1;NH;M;110;52;4;no;5;155;155;AS;94;20;SM;0;155;5;6;90;90;EN;1;15;1;32;12;EC;90
481;C;P481;T2;NH;T;133;62;4;yes;8;210;210;AS;184;15;SM;0;210;5;6;92;92;EN;4;14;2;21;0;EC;92
482;C;P482;HT;H;T;97;58;4;no;4;189;189;AS;45;62;SM;0;189;5;2;15;15;EN;3;7;0;0;1;EC;15
483;C;P483;T1;NH;T;66;46;4;no;3;73;73;AS;26;35;SM;0;73;5;6;47;47;EN;17;11;2;2;1;EC;47
484;C;P484;HM;H;M;137;51;4;no;4;128;128;AS;88;38;SM;0;128;5;5;74;74;EN;0;31;0;4;1;EC;74
485;C;P485;F1;NH;F;108;52;4;yes;7;156;156;AS;102;38;SM;0;156;5;4;48;48;EN;1;17;2;5;2;EC;48
486;C;P486;M2;NH;M;124;42;4;no;4;266;266;AS;158;64;SM;0;266;5;7;45;45;EN;1;10;1;24;1;EC;45
487;C;P487;HF;H;F;86;53;4;no;10;156;156;AS;102;27;SM;0;156;5;4;68;68;EN;0;20;0;18;1;EC;68
488;C;P488;F2;NH;F;49;47;4;no;2;88;88;AS;56;22;SM;0;88;5;6;62;62;EN;0;27;0;2;3;EC;62
489;C;P489;M1;NH;M;117;46;4;no;4;95;95;AS;82;6;SM;0;95;5;7;77;77;EN;16;11;1;0;4;EC;77
490;C;P490;T2;NH;T;86;39;4;yes;10;125;125;AS;3;118;SM;0;125;5;4;34;34;EN;0;6;0;4;3;EC;34
491;C;P491;HT;H;T;89;42;4;no;5;195;195;AS;120;43;SM;0;195;5;7;83;83;EN;11;22;1;1;5;EC;83
492;C;P492;T1;NH;T;64;58;4;no;4;78;78;AS;39;26;SM;0;78;5;7;82;82;EN;43;4;1;0;1;EC;82
493;C;P493;HM;H;M;159;59;4;no;3;111;111;AS;78;10;SM;0;111;5;8;86;86;EN;2;39;1;5;2;EC;86
494;C;P494;F1;NH;F;153;49;4;no;4;240;240;SM;48;167;PD;0;240;5;6;55;55;AS;0;24;0;14;3;SM;55
495;C;P495;M2;NH;M;99;53;4;no;3;159;159;SM;58;41;EC;0;159;5;6;71;58;AS;16;18;10;4;14;SM;62
496;C;P496;HF;H;F;66;42;4;no;9;107;107;SM;54;30;EC;0;107;5;5;52;52;AS;0;13;0;19;14;SM;52
497;C;P497;F2;NH;F;72;69;4;no;6;109;109;SM;61;34;EC;0;109;5;6;86;66;AS;1;41;0;9;20;SM;71
498;C;P498;M1;NH;M;120;47;4;no;8;144;144;SM;85;4;EC;0;144;5;6;63;63;AS;0;28;2;28;3;SM;63
499;C;P499;T2;NH;T;104;42;4;yes;6;126;126;SM;52;28;EC;0;126;5;3;31;31;AS;0;27;0;0;3;SM;31
500;C;P500;HT;H;T;102;66;4;no;8;154;154;SM;31;50;EC;0;154;5;5;66;66;AS;4;4;17;38;1;SM;66
501;C;P501;T1;NH;T;86;82;4;yes;6;125;125;SM;16;82;EC;0;125;5;8;87;87;AS;17;30;4;3;8;SM;87
502;C;P502;HM;H;M;134;49;4;no;6;158;158;SM;73;43;EC;0;158;5;4;51;51;AS;23;12;4;1;1;SM;51
503;C;P503;F1;NH;F;81;44;4;yes;7;115;115;SM;63;2;EC;0;115;5;3;45;45;AS;3;0;29;8;20;SM;60
504;C;P504;M2;NH;M;113;50;4;no;6;279;279;SM;95;22;EC;0;279;5;4;54;54;AS;5;7;0;0;38;SM;54
505;C;P505;HF;H;F;104;67;4;no;4;80;80;SM;22;14;EC;0;80;5;6;72;72;AS;0;24;1;30;7;SM;72
506;C;P506;F2;NH;F;76;45;4;yes;7;121;121;SM;48;17;EC;0;121;5;6;72;72;AS;2;21;0;22;16;SM;72
507;C;P507;M1;NH;M;101;55;4;no;6;147;147;SM;28;36;EC;0;147;5;5;73;73;AS;25;20;7;6;1;SM;73
508;C;P508;T2;NH;T;66;51;4;no;9;114;114;SM;81;7;EC;0;114;5;8;107;107;AS;14;16;17;29;18;SM;107
509;C;P509;HT;H;T;85;52;4;yes;8;123;123;SM;74;1;EC;0;123;5;5;61;61;AS;1;29;0;20;0;SM;61
510;C;P510;T1;NH;T;99;75;4;no;4;117;117;SM;25;81;PD;0;117;5;7;83;83;AS;0;58;0;7;1;SM;83
511;C;P511;HM;H;M;131;61;4;no;5;162;162;SM;140;4;PD;0;162;5;5;47;47;AS;0;4;0;29;10;SM;47
512;C;P512;F1;NH;F;110;36;4;yes;7;137;137;SM;78;21;PD;0;137;5;3;46;33;AS;0;7;5;18;2;SM;33
513;C;P513;M2;NH;M;114;53;4;no;3;136;136;SM;121;6;PD;0;136;5;7;84;84;AS;18;7;1;7;16;SM;84
514;C;P514;HF;H;F;57;61;4;no;6;152;152;SM;30;96;PD;0;152;5;6;101;101;AS;2;28;3;48;2;SM;101
515;C;P515;F2;NH;F;98;52;4;no;4;103;103;SM;68;12;PD;0;103;5;4;60;60;AS;1;42;1;3;1;SM;60
516;C;P516;M1;NH;M;124;58;4;no;0;0;0;SM;0;0;PD;0;0;5;5;73;73;AS;2;29;1;5;32;SM;73
517;C;P517;T2;NH;T;85;33;4;no;9;216;216;SM;133;67;PD;0;216;5;7;72;72;AS;39;14;1;0;0;SM;72
518;C;P518;HT;H;T;107;59;4;no;7;129;129;SM;87;5;PD;0;129;5;3;54;54;AS;13;14;11;11;1;SM;54
519;C;P519;T1;NH;T;87;52;4;no;5;125;125;SM;106;10;PD;0;125;5;6;69;69;AS;13;21;3;9;3;SM;69
520;C;P520;HM;H;M;125;55;4;no;6;196;196;SM;169;1;PD;0;196;5;5;74;74;AS;25;4;0;0;0;SM;74
521;C;P521;F1;NH;F;88;56;4;no;6;129;129;SM;58;56;PD;0;129;5;5;79;79;AS;26;17;9;16;3;SM;79
522;C;P522;M2;NH;M;83;50;4;no;4;159;159;SM;128;4;PD;0;159;5;6;81;81;AS;48;4;8;1;2;SM;81
523;C;P523;HF;H;F;81;40;4;no;9;164;164;SM;111;48;PD;0;164;5;9;77;77;AS;13;22;2;21;0;SM;77
524;C;P524;F2;NH;F;83;58;4;yes;4;153;153;SM;49;79;PD;0;153;5;7;88;88;AS;0;65;0;14;0;SM;88
525;C;P525;M1;NH;M;105;60;4;no;6;147;147;SM;102;26;PD;0;147;5;4;62;62;AS;0;55;0;2;0;SM;62
526;C;P526;T2;NH;T;91;59;4;no;2;67;67;SM;52;6;PD;0;67;5;6;62;62;AS;3;28;0;0;28;SM;62
527;C;P527;HT;H;T;57;67;4;no;6;121;121;SM;91;23;PD;0;121;5;6;78;65;AS;4;15;4;33;14;SM;70
528;C;P528;T1;NH;T;101;73;4;no;6;120;120;SM;99;24;PD;0;123;5;5;56;56;AS;26;3;5;2;22;SM;58
529;C;P529;HM;H;M;112;59;4;no;4;171;171;SM;128;39;PD;0;171;5;3;16;16;AS;7;6;0;0;1;SM;16
530;C;P530;F1;NH;F;84;66;4;no;7;161;161;SM;69;66;PD;0;161;5;8;105;105;AS;0;56;0;35;5;SM;105
531;C;P531;M2;NH;M;110;40;4;no;2;112;112;SM;45;49;PD;0;112;5;2;14;14;AS;0;5;1;5;1;SM;14
532;C;P532;HF;H;F;92;55;4;no;7;139;139;SM;104;28;PD;0;139;5;7;94;94;AS;0;72;0;9;1;SM;94
533;C;P533;F2;NH;F;71;35;4;no;5;92;92;SM;51;27;PD;0;92;5;4;44;44;AS;0;21;0;7;10;SM;44
534;C;P534;M1;NH;M;92;43;4;no;6;220;220;SM;135;66;PD;0;220;5;5;60;60;AS;5;27;0;9;3;SM;60
535;C;P535;T2;NH;T;73;48;4;yes;11;143;143;SM;147;5;PD;0;152;5;3;14;14;AS;1;9;1;1;1;SM;14
536;C;P536;HT;H;T;103;66;4;no;5;135;135;SM;125;3;PD;0;135;5;7;87;87;AS;14;23;6;19;3;SM;87
537;C;P537;T1;NH;T;69;53;4;no;4;93;93;SM;74;14;PD;0;93;5;5;59;59;AS;11;24;5;3;14;SM;59
538;C;P538;HM;H;M;117;60;4;no;4;137;137;SM;70;64;PD;0;137;5;5;54;54;AS;6;36;0;2;0;SM;54
539;C;P539;F1;NH;F;96;51;4;no;7;133;133;SM;46;81;PD;0;133;5;2;7;7;AS;0;5;0;1;1;SM;7
540;C;P540;M2;NH;M;111;58;4;yes;4;131;131;SM;52;69;PD;0;131;5;8;110;110;AS;16;13;16;9;47;SM;110
541;C;P541;HF;H;F;73;61;4;no;1;136;136;SM;30;96;PD;0;136;5;1;92;92;AS;0;38;0;33;6;SM;92
542;C;P542;F2;NH;F;70;60;4;no;2;149;149;SM;84;52;PD;0;149;5;3;44;44;AS;0;25;0;6;1;SM;44
543;C;P543;M1;NH;M;156;63;4;no;4;201;201;PD;158;14;SM;0;201;5;2;61;61;AS;0;0;0;0;55;PD;61
544;C;P544;T2;NH;T;72;42;4;no;7;128;128;PD;104;8;SM;0;128;5;8;56;56;AS;24;0;21;0;6;PD;56
545;C;P545;HT;H;T;76;53;4;no;4;94;94;PD;63;2;SM;0;94;5;4;69;69;AS;6;21;7;11;19;PD;69
546;C;P546;T1;NH;T;76;47;4;no;3;90;90;PD;64;2;SM;0;90;5;5;76;76;AS;9;19;2;31;3;PD;76
547;C;P547;HM;H;M;98;56;4;no;6;262;262;PD;174;31;SM;0;262;5;4;70;70;AS;0;40;0;19;18;PD;77
548;C;P548;F1;NH;F;57;46;4;no;7;123;123;PD;47;53;SM;0;123;5;9;101;101;AS;1;40;0;2;2;PD;101
549;C;P549;M2;NH;M;89;76;4;no;4;147;147;PD;108;14;SM;0;147;5;6;114;114;AS;34;64;5;9;0;PD;114
550;C;P550;HF;H;F;105;58;4;no;5;229;229;PD;130;60;SM;0;229;5;6;112;112;AS;50;2;44;2;1;PD;112
551;C;P551;F2;NH;F;77;64;4;no;3;194;194;PD;59;121;SM;0;194;5;7;68;68;AS;0;1;0;56;1;PD;68
552;C;P552;M1;NH;M;155;77;4;no;5;159;159;PD;131;6;SM;0;159;5;3;62;62;AS;0;11;0;39;0;PD;62
553;C;P553;T2;NH;T;95;41;4;yes;8;149;149;PD;92;42;SM;0;149;5;5;59;59;AS;8;18;5;17;3;PD;59
554;C;P554;HT;H;T;110;54;4;yes;5;193;193;PD;166;0;SM;0;193;5;5;88;88;AS;10;25;9;33;1;PD;88
555;C;P555;T1;NH;T;91;59;4;no;5;112;112;PD;83;14;SM;0;112;5;8;80;80;AS;5;34;2;7;18;PD;80
556;C;P556;HM;H;M;88;70;4;no;3;114;114;PD;95;12;SM;0;114;5;7;106;106;AS;3;53;5;30;2;PD;106
557;C;P557;F1;NH;F;74;44;4;yes;;;;;;;;;;0;6;53;53;AS;17;13;6;8;0;PD;53
558;C;P558;M2;NH;M;97;63;4;no;6;154;154;PD;143;7;SM;0;154;5;8;111;111;AS;0;33;0;79;0;PD;112
559;C;P559;HF;H;F;80;64;4;no;4;97;97;PD;42;15;SM;0;97;5;5;85;85;AS;0;32;0;45;1;PD;85
560;C;P560;F2;NH;F;87;53;4;yes;6;126;126;PD;75;13;SM;0;126;5;5;69;69;AS;2;36;2;22;0;PD;69
561;C;P561;M1;NH;M;119;76;4;no;5;210;210;PD;102;61;SM;0;210;5;9;91;91;AS;45;12;5;3;1;PD;91
562;C;P562;T2;NH;T;55;42;4;no;5;141;141;PD;68;37;SM;0;141;5;7;81;81;AS;17;18;6;13;15;PD;81
563;C;P563;HT;H;T;91;54;4;no;4;216;216;PD;136;68;SM;0;216;5;5;56;56;AS;33;2;4;4;2;PD;56
564;C;P564;T1;NH;T;83;70;4;no;3;85;85;PD;75;0;SM;0;85;5;5;62;62;AS;24;28;3;3;2;PD;62
565;C;P565;HM;H;M;122;59;4;no;4;176;176;PD;116;29;SM;0;176;5;5;63;63;AS;9;21;3;9;19;PD;63
566;C;P566;F1;NH;F;66;51;4;yes;3;123;123;PD;43;56;SM;0;123;5;6;75;75;AS;7;26;1;28;4;PD;75
567;C;P567;M2;NH;M;75;45;4;yes;3;89;89;PD;44;14;SM;0;89;5;7;57;57;AS;18;18;1;1;3;PD;57
568;C;P568;HF;H;F;88;47;4;no;7;151;151;PD;77;41;SM;0;151;5;6;58;58;AS;2;7;3;37;4;PD;58
569;C;P569;F2;NH;F;55;65;4;no;4;118;118;PD;89;10;SM;0;118;5;9;84;84;AS;3;69;0;8;1;PD;84
570;C;P570;M1;NH;M;142;51;4;no;4;138;138;PD;107;6;SM;0;138;5;5;47;47;AS;15;15;2;9;0;PD;47
571;C;P571;T2;NH;T;102;51;4;no;0;0;0;PD;0;0;SM;0;0;5;5;71;71;AS;7;20;2;15;17;PD;71
572;C;P572;HT;H;T;85;47;4;no;3;88;88;PD;74;7;SM;0;88;5;6;47;47;AS;15;12;2;1;0;PD;47
573;C;P573;T1;NH;T;63;54;4;no;5;164;164;PD;131;1;SM;0;164;5;7;71;71;AS;0;44;0;12;0;PD;71
574;C;P574;HM;H;M;135;77;4;no;3;170;170;PD;60;107;SM;0;170;5;5;58;58;AS;0;49;0;1;1;PD;58
575;C;P575;F1;NH;F;80;58;4;yes;7;159;159;PD;88;47;SM;0;159;5;4;55;55;AS;0;48;0;1;0;PD;55
576;C;P576;M2;NH;M;100;37;4;no;4;172;172;PD;126;10;SM;0;172;5;6;61;61;AS;3;24;2;22;4;PD;61
577;C;P577;HF;H;F;112;49;4;no;5;137;137;PD;60;3;SM;0;137;5;7;79;79;AS;0;50;0;1;11;PD;79
578;C;P578;F2;NH;F;77;54;4;no;6;129;129;PD;80;30;SM;0;129;5;4;56;56;AS;0;44;0;9;0;PD;56
579;C;P579;M1;NH;M;98;75;4;no;4;114;114;PD;112;0;SM;0;114;5;4;56;56;AS;0;17;1;19;11;PD;56
580;C;P580;T2;NH;T;60;57;4;yes;6;100;100;PD;74;16;SM;0;100;5;7;82;82;AS;30;31;1;5;6;PD;82
581;C;P581;T1;NH;T;83;45;4;no;5;127;127;PD;63;46;SM;0;127;5;5;38;38;AS;0;28;0;2;5;PD;38
582;C;P582;HM;H;M;127;69;4;no;4;194;194;PD;122;27;SM;0;194;5;6;69;69;AS;14;40;1;4;3;PD;69
583;C;P583;M2;NH;M;95;37;4;no;5;190;190;PD;70;100;SM;0;190;5;6;41;41;AS;0;20;0;8;3;PD;41
