"Population","Cage","Sex","Time Block","Marker","Mating Status"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"2","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
"3","","Male","Day 3 Final","Red","Non-Mated"
