ID,line,trt,ovary,body area,relative_ovary,testis,relative_testis,sex_allocation
67,F3,F,0.005348858,0.141607346,0.037772461,0.006020155,0.042513011,0.529523086
70,F3,F,0.003321379,0.131650095,0.02522884,0.006964924,0.052904817,0.677106627
85,F3,F,0.002335419,0.123137115,0.018966003,0.006304527,0.051199241,0.729695192
116,F3,F,0.006533553,0.202657576,0.032239374,0.010313622,0.050891867,0.612187027
118,F3,F,0.005911799,0.142835228,0.041388941,0.007140516,0.04999128,0.547068935
2,F4,F,0.004297927,0.139158292,0.030885163,0.003810644,0.027383519,0.469952605
5,F4,F,0.004464813,0.120521994,0.037045628,0.005070643,0.042072347,0.531767238
24,F4,F,0.006073165,0.13901571,0.043686896,0.007322831,0.052676285,0.546643279
35,F4,F,0.007096494,0.225640107,0.0314505,0.011525637,0.051079734,0.618921477
55,F4,F,0.004082276,0.141661024,0.028817217,0.006291858,0.044414886,0.606494747
80,F4,F,0.005965163,0.169150821,0.03526535,0.004865539,0.028764498,0.449235776
97,F4,F,0.005460894,0.199311094,0.027398847,0.007818253,0.039226382,0.588761685
98,F4,F,0.004911471,0.182421006,0.026923825,0.00659994,0.036179714,0.573338908
110,F4,F,0.006124122,0.195692868,0.031294561,0.006584794,0.033648616,0.518123952
7,M1,M,0.005999205,0.200421556,0.029932935,0.007146107,0.035655382,0.54362398
26,M1,M,0.010969986,0.18642672,0.05884342,0.00781705,0.041930952,0.416087459
28,M1,M,0.007237831,0.177034764,0.04088367,0.00874632,0.049404533,0.547187021
56,M1,M,0.004729934,0.242003481,0.019544903,0.006564411,0.027125275,0.581212167
66,M1,M,0.004392057,0.231490998,0.018972905,0.007038176,0.03040367,0.615750889
69,M1,M,0.006655215,0.254151462,0.026186018,0.010470034,0.041196042,0.61137997
75,M1,M,0.006878084,0.202102345,0.034032677,0.009539278,0.047200234,0.581048166
84,M1,M,0.004011007,0.15950725,0.025146233,0.008103758,0.050804949,0.66891584
125,M1,M,0.01040846,0.223180988,0.046636859,0.010337969,0.046321011,0.498301118
17,M2,M,0.00556472,0.116935639,0.04758789,0.007462965,0.063821132,0.572854248
22,M2,M,0.00878475,0.169880505,0.051711351,0.011291161,0.066465311,0.562423324
30,M2,M,0.006882897,0.170578318,0.04035036,0.009464115,0.055482523,0.578950786
43,M2,M,0.010142419,0.236602142,0.042866978,0.010094717,0.042665365,0.498821423
61,M2,M,0.011167022,0.26469246,0.042188667,0.00852154,0.032194116,0.432816774
65,M2,M,0.006424844,0.19097089,0.033643052,0.009753159,0.051071442,0.602865455
76,M2,M,0.01205588,0.255127729,0.04725429,0.009641406,0.037790505,0.444359997
115,M2,M,0.01066523,0.284794836,0.03744882,0.007834602,0.027509635,0.423495836
14,M3,M,0.005417722,0.184397024,0.029380743,0.008773568,0.04757977,0.618236133
21,M3,M,0.00528325,0.12523223,0.042187622,0.008423376,0.067262042,0.614547726
25,M3,M,0.015097983,0.188729837,0.079997857,0.010361041,0.054898799,0.406969309
53,M3,M,0.006094185,0.180297374,0.033800741,0.008278005,0.045913063,0.575973802
87,M3,M,0.006093619,0.140357657,0.043414936,0.007083047,0.050464272,0.537544715
94,M3,M,0.003488336,0.172131623,0.020265517,0.005337746,0.031009679,0.60476958
95,M3,M,0.005289478,0.198557926,0.026639471,0.006276359,0.031609711,0.542663599
96,M3,M,0.005694379,0.193446783,0.029436413,0.00735015,0.037995722,0.563466098
106,M3,M,0.007818961,0.248028826,0.031524404,0.006936614,0.027966969,0.470101253
108,M3,M,0.006595056,0.225636752,0.029228644,0.012667797,0.055089487,0.657628264
124,M3,M,0.005743992,0.199532516,0.02878725,0.006225967,0.031202769,0.520132681
31,M4,M,0.005481065,0.1832094,0.029916941,0.008896008,0.048556504,0.618763507
42,M4,M,0.008005027,0.225467331,0.035504155,0.010167402,0.045094791,0.559496037
59,M4,M,0.00507489,0.216987899,0.023387893,0.012051138,0.055538294,0.703673857
77,M4,M,0.005166897,0.160704938,0.032151449,0.006791527,0.042260845,0.567928269
92,M4,M,0.007245121,0.237078533,0.030560003,0.00938782,0.039597935,0.56441133
93,M4,M,0.006449685,0.238036348,0.027095381,0.007968507,0.033476011,0.552670332
99,M4,M,0.004921309,0.230697572,0.021332296,0.006129855,0.026570957,0.554679595
