"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"50","MC","3","81","4",31,94
"50","MC","3","81","5",21,63
"50","MC","3","81","6",25,77
"50","MC","3","105","1",34,68
"50","MC","3","105","2",33,61
"50","MC","3","105","3",36,62
"50","MC","3","105","4",48,73
"50","MC","3","105","5",34,60
"50","MC","3","105","6",32,59
"50","MC","3","128","1",39,44
"50","MC","3","128","2",28,54
"50","MC","3","128","3",42,74
"50","MC","3","128","4",36,72
"50","MC","3","128","5",29,62
"50","MC","3","128","6",38,52
"50","MC","5","17","1",38,36
"50","MC","5","17","2",34,36
"50","MC","5","17","3",30,33
"50","MC","5","17","4",37,40
"50","MC","5","17","5",36,35
"50","MC","5","17","6",33,35
"50","MC","5","41","1",23,50
"50","MC","5","41","2",43,55
"50","MC","5","41","3",25,55
"50","MC","5","41","4",28,49
"50","MC","5","41","5",27,53
"50","MC","5","41","6",33,48
"50","MC","5","65","1",34,55
"50","MC","5","65","2",43,56
"50","MC","5","65","3",32,39
"50","MC","5","65","4",29,39
"50","MC","5","65","5",36,54
"50","MC","5","89","1",27,56
"50","MC","5","89","2",26,49
"50","MC","5","89","3",30,71
"50","MC","5","89","4",23,55
"50","MC","5","89","5",37,46
"50","MC","5","89","6",26,58
"50","MC","5","113","1",12,51
"50","MC","5","113","2",21,56
"50","MC","5","113","3",24,62
"50","MC","5","113","4",14,47
"50","MC","5","113","5",32,48
"50","MC","5","113","6",24,66
"50","MC","5","135","1",29,54
"50","MC","5","135","2",27,63
"50","MC","5","135","3",25,74
"50","MC","5","135","4",29,65
"50","MC","5","135","5",19,53
"50","MC","5","135","6",32,79
"64","MLSD","1","5","1",29,40
"64","MLSD","1","5","2",24,73
"64","MLSD","1","5","3",26,59
"64","MLSD","1","5","4",18,34
"64","MLSD","1","5","5",17,59
"64","MLSD","1","5","6",47,57
"64","MLSD","1","29","1",15,29
"64","MLSD","1","29","2",13,30
"64","MLSD","1","29","3",18,27
"64","MLSD","1","29","4",24,31
"64","MLSD","1","29","5",22,36
"64","MLSD","1","29","6",19,35
"64","MLSD","1","53","1",19,32
"64","MLSD","1","53","2",6,12
"64","MLSD","1","53","3",7,18
"64","MLSD","1","53","4",13,33
"64","MLSD","1","53","5",16,54
"64","MLSD","1","53","6",10,37
"64","MLSD","1","77","1",32,31
"64","MLSD","1","77","2",31,37
"64","MLSD","1","77","3",34,42
"64","MLSD","1","77","4",27,58
"64","MLSD","1","77","5",38,59
"64","MLSD","1","77","6",29,40
"64","MLSD","1","101","1",45,107
"64","MLSD","1","101","2",23,65
"64","MLSD","1","101","3",20,61
"64","MLSD","1","101","4",53,84
"64","MLSD","1","101","5",22,51
"64","MLSD","1","101","6",30,72
"64","MLSD","1","124","1",10,35
"64","MLSD","1","124","2",5,25
"64","MLSD","1","124","3",8,43
"64","MLSD","1","124","4",10,53
"64","MLSD","1","124","5",17,36
"64","MLSD","1","124","6",9,28
"64","MLSD","3","13","1",48,62
"64","MLSD","3","13","2",34,68
"64","MLSD","3","13","3",28,61
"64","MLSD","3","13","4",34,30
"64","MLSD","3","13","5",39,70
"64","MLSD","3","13","6",45,60
"64","MLSD","3","37","1",18,72
"64","MLSD","3","37","2",15,70
"64","MLSD","3","37","3",18,76
"64","MLSD","3","37","4",20,55
"64","MLSD","3","37","5",19,60
"64","MLSD","3","37","6",21,77
"64","MLSD","3","61","1",33,79
"64","MLSD","3","61","2",30,73
"64","MLSD","3","61","3",36,65
"64","MLSD","3","61","4",29,63
"64","MLSD","3","61","5",35,74
"64","MLSD","3","61","6",32,80
"64","MLSD","3","85","1",41,65
