"Selection","Line","Vial","Pupal.count","Dams.Count","Dam.Productivity","w"
"MC","27","5",25,4,6.25,-1.25768320081195
"MC","28","1",145,4,36.25,2.31846715000726
"MC","28","2",119,4,29.75,1.54363457399643
"MC","28","3",82,4,20.5,0.440988215827176
"MC","28","4",77,4,19.25,0.291981951209709
"MC","28","5",38,4,9.5,-0.870266912806536
"MC","29","1",75,4,18.75,0.232379445362722
"MC","29","2",45,3,15,-0.21463934848968
"MC","29","3",61,4,15.25,-0.184838095566187
"MC","30","1",97,4,24.25,0.888007009679578
"MC","30","2",52,4,13,-0.453049371877628
"MC","30","3",45,4,11.25,-0.661658142342082
"MC","30","4",60,4,15,-0.21463934848968
"MC","30","5",37,4,9.25,-0.900068165730029
"MC","31","1",90,4,22.5,0.679398239215123
"MC","31","2",66,4,16.5,-0.0358318309487194
"MC","31","3",105,4,26.25,1.12641703306753
"MC","31","4",76,4,19,0.262180698286215
"MC","31","5",106,4,26.5,1.15621828599102
"MC","32","1",131,4,32.75,1.90124960907835
"MC","32","2",82,4,20.5,0.440988215827176
"MC","32","3",80,4,20,0.381385709980189
"MC","32","4",77,4,19.25,0.291981951209709
"MC","32","5",79,4,19.75,0.351584457056695
"MC","33","1",74,4,18.5,0.202578192439228
"MC","33","2",79,4,19.75,0.351584457056695
"MC","33","3",90,4,22.5,0.679398239215123
"MC","33","4",82,4,20.5,0.440988215827176
"MC","34","1",74,4,18.5,0.202578192439228
"MC","34","2",115,4,28.75,1.42442956230246
"MC","34","3",20,4,5,-1.40668946542942
"MC","34","4",80,4,20,0.381385709980189
"MC","34","5",54,4,13.5,-0.393446866030641
"MC","35","1",69,4,17.25,0.053571927821761
"MC","35","2",61,4,15.25,-0.184838095566187
"MC","35","3",52,4,13,-0.453049371877628
"MC","35","4",37,4,9.25,-0.900068165730029
"MC","35","5",67,4,16.75,-0.00603057802522593
"MC","36","1",73,4,18.25,0.172776939515735
"MC","36","2",62,4,15.5,-0.155036842642693
"MC","36","3",100,4,25,0.977410768450058
"MC","36","4",56,4,14,-0.333844360183654
"MC","36","5",71,4,17.75,0.113174433668748
"MC","37","1",88,4,22,0.619795733368137
"MC","37","2",37,4,9.25,-0.900068165730029
"MC","37","3",87,4,21.75,0.589994480444643
"MC","37","4",46,3,15.3333333333333,-0.174904344591689
"MC","38","1",83,4,20.75,0.470789468750669
"MC","38","2",106,4,26.5,1.15621828599102
"MC","38","3",97,4,24.25,0.888007009679578
"MC","38","4",73,4,18.25,0.172776939515735
"MC","38","5",99,4,24.75,0.947609515526564
