Study,Trait,Generations,Organism,Interpretation,Effect_size_source,Estimate,Var,Lower_95_CI,Upper_95_CI
Thyagarajan et al. (2025) J. Hered. esaf072,Female fitness,50,Drosophila melanogaster,This positive effect means that females carrying male-evolved haplotypes have lower fitness than females carrying control genomes.,Model of the raw data,0.24778446650748268,2.3704368892256926e-4,0.21760786902922244,0.27796106398574294
Thyagarajan et al. (2025) J. Hered. esaf072,Male fitness,64,Drosophila melanogaster,This positive effect means that males carrying male-evolved haplotypes have higher fitness than males carrying control genomes.,Model of the raw data,0.02905917501753933,2.2998745508368346e-4,-6.648860685484585e-4,0.058783236103627116
