Study,Trait,Generations,Organism,Interpretation,Estimate,Var,Lower_95_CI,Upper_95_CI
Grieshop et al. (2025) Molec. Biol. Evol. 42 msaf099.,Female mating rate,103,Drosophila melanogaster,"A positive effect would mean that females carrying primarily male-evolved copies of chromosome 2 mate less often, compared to females with primarily female-evolved copies of chromosome 2 (there is no difference, though).",-0.03486196855263462,6.367713388195742e-4,-0.0843212525669557,0.014597315461686458
Grieshop et al. (2025) Molec. Biol. Evol. 42 msaf099.,Male mating rate,103,Drosophila melanogaster,"This positive effect means that males carrying primarily male-evolved copies of chromosome 2 mate more often, compared to males with primarily female-evolved copies of chromosome 2.",0.06304635505774638,6.179656970948915e-4,0.01432287999736367,0.11176983011812906
