Study,Trait,Generations,Organism,Interpretation,Estimate,Var,Lower_95_CI,Upper_95_CI
"Melo-Gavin et al. (2026) bioRxiv, https://doi.org/10.64898/2026.01.23.701411",Female fitness (benign env.),15,Drosophila melanogaster,"The positive effect size means that females carrying the female-limited chromosome had higher fitness than females with the male-limited chromosome, when evolved and measured under benign conditions.",0.18480544574538468,0.010197379249721467,0.037843215381751796,0.33176767610901764
"Melo-Gavin et al. (2026) bioRxiv, https://doi.org/10.64898/2026.01.23.701411",Male fitness (benign env.),15,Drosophila melanogaster,"A positive effect size would that males carrying the male-limited chromosome had higher fitness than males with the female-limited chromosome, when evolved and measured under benign conditions (there is no difference though).",-0.06329255719442173,0.010347892038171618,-0.21133539219308134,0.08475027780423788
"Melo-Gavin et al. (2026) bioRxiv, https://doi.org/10.64898/2026.01.23.701411",Female fitness (novel env.),15,Drosophila melanogaster,"The positive effect size means that females carrying the female-limited chromosome had higher fitness than females with the male-limited chromosome, when evolved and measured under novel conditions.",0.1706914260225868,0.010197379249721467,0.02372919565895391,0.31765365638621973
"Melo-Gavin et al. (2026) bioRxiv, https://doi.org/10.64898/2026.01.23.701411",Male fitness (novel env.),15,Drosophila melanogaster,"The positive effect size means that males carrying the male-limited chromosome had higher fitness than males with the female-limited chromosome, when evolved and measured under novel conditions.",0.4358254918309266,0.010197379249721467,0.2888632614672937,0.5827877221945594
