Study,Trait,Generations,Organism,Interpretation,Effect_size_source,Estimate,Var,Lower_95_CI,Upper_95_CI
"Lund-Hansen et al. (2026) Phil. Trans. B, in prep.",Female locomotion,169,Drosophila melanogaster,The positive effect size indicates that females carrying a female-limited X and Cwt autosomes show reduced (i.e. female-like) locomotion relative to females carrying a control (CFM) X and Cwt autosomes.,Model of the raw data,0.4492265145227015,0.028627689925495595,0.11760001736394943,0.7808530116814537
"Lund-Hansen et al. (2026) Phil. Trans. B, in prep.",Male locomotion,169,Drosophila melanogaster,"A positive effect size would indicate that males carrying a female-limited X and Cwt autosomes show reduced (i.e. female-like) locomotion relative to females carrying a control (CFM) X and Cwt autosomes (it't non-significant, though).",Model of the raw data,0.05404245410815026,0.025660360890301305,-0.25992703867129396,0.3680119468875945
