rep_population,regime,regimeRP,male,age,dead
RP2,aFLX,dFLXRP2,16,72,1
RP2,aFLX,dFLXRP2,17,64,1
RP2,aFLX,dFLXRP2,18,72,1
RP2,aFLX,dFLXRP2,19,53,1
RP2,aFLX,dFLXRP2,20,48,1
RP2,aFLX,dFLXRP2,21,62,1
RP2,aFLX,dFLXRP2,22,69,1
RP2,aFLX,dFLXRP2,23,54,1
RP2,aFLX,dFLXRP2,24,41,1
RP2,aFLX,dFLXRP2,25,41,1
RP2,aFLX,dFLXRP2,26,60,1
RP2,aFLX,dFLXRP2,27,44,1
RP2,aFLX,dFLXRP2,28,65,1
RP2,aFLX,dFLXRP2,29,60,1
RP2,aFLX,dFLXRP2,30,60,1
RP2,aFLX,dFLXRP2,31,61,1
RP2,aFLX,dFLXRP2,32,53,1
RP2,aFLX,dFLXRP2,33,69,1
RP2,aFLX,dFLXRP2,34,61,1
RP2,aFLX,dFLXRP2,35,62,1
RP2,bCFM,eCFMRP2,1,44,1
RP2,bCFM,eCFMRP2,2,65,1
RP2,bCFM,eCFMRP2,3,53,1
RP2,bCFM,eCFMRP2,4,44,1
RP2,bCFM,eCFMRP2,5,50,1
RP2,bCFM,eCFMRP2,6,64,1
RP2,bCFM,eCFMRP2,7,35,1
RP2,bCFM,eCFMRP2,8,66,1
RP2,bCFM,eCFMRP2,9,79,0
RP2,bCFM,eCFMRP2,10,54,1
RP2,bCFM,eCFMRP2,11,50,1
RP2,bCFM,eCFMRP2,12,31,1
RP2,bCFM,eCFMRP2,13,41,1
RP2,bCFM,eCFMRP2,14,64,1
RP2,bCFM,eCFMRP2,15,40,1
RP2,bCFM,eCFMRP2,16,69,1
RP2,bCFM,eCFMRP2,17,53,1
RP2,bCFM,eCFMRP2,18,62,1
RP2,bCFM,eCFMRP2,19,44,1
RP2,bCFM,eCFMRP2,20,31,1
RP2,bCFM,eCFMRP2,21,41,1
RP2,bCFM,eCFMRP2,22,47,1
RP2,bCFM,eCFMRP2,23,58,1
RP2,bCFM,eCFMRP2,24,62,1
RP2,bCFM,eCFMRP2,25,66,1
RP2,bCFM,eCFMRP2,26,41,1
RP2,bCFM,eCFMRP2,27,50,1
RP2,bCFM,eCFMRP2,28,50,1
RP2,bCFM,eCFMRP2,29,68,1
RP2,bCFM,eCFMRP2,30,51,1
RP2,bCFM,eCFMRP2,31,64,1
RP2,bCFM,eCFMRP2,32,54,1
RP2,bCFM,eCFMRP2,33,48,1
RP2,bCFM,eCFMRP2,34,54,1
RP2,bCFM,eCFMRP2,35,61,1
RP2,cCwt,fCwtRP2,1,74,1
RP2,cCwt,fCwtRP2,2,64,1
RP2,cCwt,fCwtRP2,3,41,1
RP2,cCwt,fCwtRP2,4,55,1
RP2,cCwt,fCwtRP2,5,67,1
RP2,cCwt,fCwtRP2,6,35,1
RP2,cCwt,fCwtRP2,7,35,1
RP2,cCwt,fCwtRP2,8,35,1
RP2,cCwt,fCwtRP2,9,38,1
RP2,cCwt,fCwtRP2,10,55,1
RP2,cCwt,fCwtRP2,11,35,1
RP2,cCwt,fCwtRP2,12,35,1
RP2,cCwt,fCwtRP2,13,64,1
RP2,cCwt,fCwtRP2,14,53,1
RP2,cCwt,fCwtRP2,15,73,1
RP2,cCwt,fCwtRP2,16,64,1
RP2,cCwt,fCwtRP2,17,62,1
RP2,cCwt,fCwtRP2,18,61,1
RP2,cCwt,fCwtRP2,19,33,1
RP2,cCwt,fCwtRP2,20,36,1
RP2,cCwt,fCwtRP2,21,46,1
RP2,cCwt,fCwtRP2,22,61,1
RP2,cCwt,fCwtRP2,23,52,1
RP2,cCwt,fCwtRP2,24,50,1
RP2,cCwt,fCwtRP2,25,53,1
RP2,cCwt,fCwtRP2,26,62,1
RP2,cCwt,fCwtRP2,27,58,1
RP2,cCwt,fCwtRP2,28,65,1
RP2,cCwt,fCwtRP2,29,76,1
RP2,cCwt,fCwtRP2,30,67,1
RP2,cCwt,fCwtRP2,31,55,1
RP2,cCwt,fCwtRP2,32,55,1
RP2,cCwt,fCwtRP2,33,71,1
RP2,cCwt,fCwtRP2,34,60,1
RP2,cCwt,fCwtRP2,35,79,0
RP3,aFLX,gFLXRP3,1,69,1
RP3,aFLX,gFLXRP3,2,52,1
RP3,aFLX,gFLXRP3,3,55,1
RP3,aFLX,gFLXRP3,4,41,1
RP3,aFLX,gFLXRP3,5,69,1
RP3,aFLX,gFLXRP3,6,50,1
RP3,aFLX,gFLXRP3,7,29,1
RP3,aFLX,gFLXRP3,8,51,1
RP3,aFLX,gFLXRP3,9,74,1
RP3,aFLX,gFLXRP3,10,55,1
RP3,aFLX,gFLXRP3,11,64,1
RP3,aFLX,gFLXRP3,12,53,1
RP3,aFLX,gFLXRP3,13,71,1
RP3,aFLX,gFLXRP3,14,62,1
RP3,aFLX,gFLXRP3,15,62,1
RP3,aFLX,gFLXRP3,16,45,1
RP3,aFLX,gFLXRP3,17,54,1
RP3,aFLX,gFLXRP3,18,69,1
RP3,aFLX,gFLXRP3,19,53,1
RP3,aFLX,gFLXRP3,20,65,1
RP3,aFLX,gFLXRP3,21,79,0
RP3,aFLX,gFLXRP3,22,22,1
RP3,aFLX,gFLXRP3,23,73,1
RP3,aFLX,gFLXRP3,24,74,1
RP3,aFLX,gFLXRP3,25,50,1
RP3,aFLX,gFLXRP3,26,54,1
RP3,aFLX,gFLXRP3,27,52,1
RP3,aFLX,gFLXRP3,28,69,1
RP3,aFLX,gFLXRP3,29,69,1
RP3,aFLX,gFLXRP3,30,79,0
RP3,aFLX,gFLXRP3,31,73,1
RP3,aFLX,gFLXRP3,32,78,1
RP3,aFLX,gFLXRP3,33,55,1
RP3,aFLX,gFLXRP3,34,54,1
RP3,aFLX,gFLXRP3,35,62,1
RP3,bCFM,hCFMRP3,1,55,1
RP3,bCFM,hCFMRP3,2,50,1
