rep_population,regime,type,regimetype,female,age,dead
RP4,cCwt,0X,eCwt,13,55,1
RP4,cCwt,0X,eCwt,14,47,1
RP4,cCwt,0X,eCwt,15,69,1
RP4,cCwt,0X,eCwt,16,65,1
RP4,cCwt,0X,eCwt,17,76,1
RP4,cCwt,0X,eCwt,18,71,1
RP4,cCwt,0X,eCwt,19,69,1
RP4,cCwt,0X,eCwt,20,52,1
RP4,cCwt,0X,eCwt,21,35,1
RP4,cCwt,0X,eCwt,22,33,1
RP4,cCwt,0X,eCwt,23,55,1
RP4,cCwt,0X,eCwt,24,65,1
RP4,cCwt,0X,eCwt,25,64,1
RP4,cCwt,0X,eCwt,26,9,1
RP4,cCwt,0X,eCwt,27,59,1
RP4,cCwt,0X,eCwt,28,75,1
RP4,cCwt,0X,eCwt,29,57,1
RP4,cCwt,0X,eCwt,30,46,1
RP4,cCwt,0X,eCwt,31,71,1
RP4,cCwt,0X,eCwt,32,41,1
RP4,cCwt,0X,eCwt,33,73,1
RP4,cCwt,0X,eCwt,34,48,1
RP4,cCwt,0X,eCwt,35,45,1
